DateTime, ElementId, ElementIndex, x, y, z, Temperature, UpstreamJunctionTemperature, DownstreamJunctionTemperature
0.0002893518519, 1, 1, 0.3, 0, 0, 3.913871382e+190, 2.149468512e+190, 1.432441653e+191
0.0002893518519, 2, 2, 0.5, 0, 0, 2.473496168e+191, 1.432441653e+191, 8.793716018e+191
0.0002893518519, 3, 3, 0.7, 0, 0, 1.511393587e+192, 8.793716018e+191, 5.358924388e+192
0.0002893518519, 4, 4, 0.9, 0, 0, 9.20645519e+192, 5.358924388e+192, 0
0.0003009259259, 0, 0, 0.1, 0, 0, 2.315905756e+197, 1, 1.292757899e+198
0.0003009259259, 1, 1, 0.3, 0, 0, 2.353925222e+198, 1.292757899e+198, 8.615154171e+198
0.0003009259259, 2, 2, 0.5, 0, 0, 1.487638312e+199, 8.615154171e+198, 5.28881711e+199
0.0003009259259, 3, 3, 0.7, 0, 0, 9.089995908e+199, 5.28881711e+199, 3.223025503e+200
0.0003009259259, 4, 4, 0.9, 0, 0, 5.537051416e+200, 3.223025503e+200, 0
0.0003125, 0, 0, 0.1, 0, 0, 1.392858487e+205, 1, 7.775052185e+205
0.0003125, 1, 1, 0.3, 0, 0, 1.415724588e+206, 7.775052185e+205, 5.181424405e+206
0.0003125, 2, 2, 0.5, 0, 0, 8.947124221e+206, 5.181424405e+206, 3.180860783e+207
0.0003125, 3, 3, 0.7, 0, 0, 5.467009145e+207, 3.180860783e+207, 1.938428804e+208
0.0003125, 4, 4, 0.9, 0, 0, 3.330156694e+208, 1.938428804e+208, 0
0.0003240740741, 0, 0, 0.1, 0, 0, 8.377088573e+212, 1, 4.676160674e+213
0.0003240740741, 1, 1, 0.3, 0, 0, 8.514612491e+213, 4.676160674e+213, 3.116271436e+214
0.0003240740741, 2, 2, 0.5, 0, 0, 5.381081623e+214, 3.116271436e+214, 1.913069617e+215
0.0003240740741, 3, 3, 0.7, 0, 0, 3.288031072e+215, 1.913069617e+215, 1.165831988e+216
0.0003240740741, 4, 4, 0.9, 0, 0, 2.002860869e+216, 1.165831988e+216, 0
0.0003356481481, 0, 0, 0.1, 0, 0, 5.038244274e+220, 1, 2.812389953e+221
0.0003356481481, 1, 1, 0.3, 0, 0, 5.120955479e+221, 2.812389953e+221, 1.874223554e+222
0.0003356481481, 2, 2, 0.5, 0, 0, 3.23635156e+222, 1.874223554e+222, 1.150580176e+223
0.0003356481481, 3, 3, 0.7, 0, 0, 1.977525196e+223, 1.150580176e+223, 7.011679878e+223
0.0003356481481, 4, 4, 0.9, 0, 0, 1.204583456e+224, 7.011679878e+223, 0
0.0003472222222, 0, 0, 0.1, 0, 0, 3.030158407e+228, 1, 1.691459683e+229
0.0003472222222, 1, 1, 0.3, 0, 0, 3.079903525e+229, 1.691459683e+229, 1.127216933e+230
0.0003472222222, 2, 2, 0.5, 0, 0, 1.946443514e+230, 1.127216933e+230, 6.919950688e+230
0.0003472222222, 3, 3, 0.7, 0, 0, 1.189345786e+231, 6.919950688e+230, 4.217044584e+231
0.0003472222222, 4, 4, 0.9, 0, 0, 7.244743381e+231, 4.217044584e+231, 0
0.0003587962963, 0, 0, 0.1, 0, 0, 1.822432473e+236, 1, 1.017296998e+237
0.0003587962963, 1, 1, 0.3, 0, 0, 1.85235075e+237, 1.017296998e+237, 6.779436805e+237
0.0003587962963, 2, 2, 0.5, 0, 0, 1.170652286e+238, 6.779436805e+237, 4.161875767e+238
0.0003587962963, 3, 3, 0.7, 0, 0, 7.153099248e+238, 4.161875767e+238, 2.536263111e+239
0.0003587962963, 4, 4, 0.9, 0, 0, 4.357216298e+239, 2.536263111e+239, 0
0.0003703703704, 0, 0, 0.1, 0, 0, 1.096068149e+244, 1, 6.118343781e+244
0.0003703703704, 1, 1, 0.3, 0, 0, 1.114061941e+245, 6.118343781e+244, 4.077366303e+245
0.0003703703704, 2, 2, 0.5, 0, 0, 7.040670665e+245, 4.077366303e+245, 2.503082851e+246
0.0003703703704, 3, 3, 0.7, 0, 0, 4.302098636e+246, 2.503082851e+246, 1.525388324e+247
0.0003703703704, 4, 4, 0.9, 0, 0, 2.620566784e+247, 1.525388324e+247, 0
0.0003819444444, 0, 0, 0.1, 0, 0, 6.592098233e+251, 1, 3.679764187e+252
0.0003819444444, 1, 1, 0.3, 0, 0, 6.70031855e+252, 3.679764187e+252, 2.452256205e+253
